[2025-11-30 12:58:23] [INFO] Iniciando diagnóstico v5 para examples/broken.csv
[2025-11-30 12:58:23] [INFO] Detectando encoding para examples/broken.csv
[2025-11-30 12:58:23] [INFO] Encoding detectado: UTF-8-SIG (confiança=1.0)
[2025-11-30 12:58:23] [INFO] Detectando delimitador para examples/broken.csv
[2025-11-30 12:58:23] [WARN] Sniffer falhou: Could not determine delimiter
[2025-11-30 12:58:23] [INFO] Delimitador escolhido por heurística: ','
[2025-11-30 12:58:23] [WARN] Linha 95: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 97: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 98: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 99: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 100: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 101: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 103: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 104: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 105: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 106: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 107: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 110: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 111: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 113: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 114: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 115: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 116: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 117: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 118: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 119: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 120: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 121: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 122: número de colunas 1, esperado 5.
